source,target,value
North East,Garden State Plaza,64.45299751
North East,Trumbull,21.81119432
Los Angeles,Century City,18.08821757
South East,Montgomery,32.22148899
North East,Sunrise,12.14097554
South East,Countryside,21.00478265
North East,Old Orchard,38.71667759
Los Angeles,Fashion Square,22.65254053
San Diego,North County,23.42539408
Los Angeles,Palm Desert,17.02972139
Los Angeles,Santa Anita,39.38288444
North West,Valley Fair,80.25921337
San Diego,Horton Plaza,11.7426798
South East,Broward,11.91104049
South East,Annapolis,41.34315487
North West,San Francisco Shopping Centre,52.78646718
South East,Citrus Park,19.1936859
North East,Meriden,17.17303106
North East,South Shore,15.27321705
South East,Sarasota,5.802931478
South East,Southgate,2.955572016
Los Angeles,Valencia,30.08627313
Los Angeles,Village at Westfield Topanga,1.195184529
North West,Galleria at Roseville,50.14203251
North West,Oakridge,28.79157333
South East,Brandon,35.33916449
North West,Southcenter,48.27102867
Los Angeles,Topanga,48.54605961
South East,Wheaton,30.55646185
San Diego,Mission Valley,49.97283855
Los Angeles,Culver City,40.80712057
San Diego,Plaza Bonita,29.0716904
San Diego,UTC,37.85270451
